Operação,Semestre,Abertura,Fechamento,Dias,Retorno total,Ticker 1,Ticker 2,Converged,Index,Retorno total - exp
1,0,114,131,17,-0.08188873857769119,PETR4,BBDC4,False,PETR4-BBDC4-1,0.9213744664272786
1,0,75,125,50,0.03722970386353697,ITUB4,CMIG3,True,ITUB4-CMIG3-1,1.0379314103126525
2,0,126,131,5,0.1923893994394017,ITUB4,CMIG3,False,ITUB4-CMIG3-2,1.2121424326608368
1,0,35,85,50,0.08265838005215143,ITSA4,POMO4,True,ITSA4-POMO4-1,1.0861706875870376
2,0,101,131,30,-0.05813494423065757,ITSA4,POMO4,False,ITSA4-POMO4-2,0.9435226159121521
1,0,71,121,50,0.066760063909308,BBDC3,CRUZ3,True,BBDC3-CRUZ3-1,1.0690389463746217
1,0,74,124,50,0.01135176875822208,CMIG4,CRUZ3,True,CMIG4-CRUZ3-1,1.01141644458184
1,0,110,131,21,-0.05973492630526178,BBDC3,CMIG4,False,BBDC3-CMIG4-1,0.9420142036777645
1,0,114,131,17,0.02944677945719687,BBDC4,CMIG4,False,BBDC4-CMIG4-1,1.0298846229946694
1,0,104,131,27,-0.20630510791674928,ITUB4,PETR3,False,ITUB4-PETR3-1,0.8135848072447849
1,0,1,51,50,-0.02836960604842842,VALE3,VALE5,True,VALE3-VALE5-1,0.9720290325895954
2,0,52,102,50,-0.05467536652749738,VALE3,VALE5,True,VALE3-VALE5-2,0.9467924585926972
3,0,103,131,28,0.11542735794647052,VALE3,VALE5,False,VALE3-VALE5-3,1.1223529815615878
1,0,28,78,50,0.07893568944996243,CEVA4,CSTB4,True,CEVA4-CSTB4-1,1.082134727152977
1,0,35,85,50,-0.0986252288344392,BRKM5,CESP5,True,BRKM5-CESP5-1,0.906082217889213
2,0,86,131,45,-0.14656250791202563,BRKM5,CESP5,False,BRKM5-CESP5-2,0.8636717443300276
1,0,1,48,47,0.15514027412715437,PETR4,CMIG4,True,PETR4-CMIG4-1,1.1678217647948752
2,0,104,131,27,-0.0417726556890301,PETR4,CMIG4,False,PETR4-CMIG4-2,0.9590877989437379
1,0,74,124,50,0.293745518211312,PETR3,CMIG3,True,PETR3-CMIG3-1,1.3414424875430688
1,0,1,51,50,0.052996794769581856,ELET6,VIVT4,True,ELET6-VIVT4-1,1.0544262654348
1,0,1,51,50,-0.022139727640929197,ITUB4,BBDC3,True,ITUB4-BBDC3-1,0.9781035573999496
2,0,52,102,50,0.06208475254844026,ITUB4,BBDC3,True,ITUB4-BBDC3-2,1.0640525220695196
3,0,103,131,28,0.07545674700504401,ITUB4,BBDC3,False,ITUB4-BBDC3-3,1.0783765836923767
1,0,35,85,50,-0.14545024795563943,BBDC4,CRUZ3,True,BBDC4-CRUZ3-1,0.8646329062585808
2,0,86,131,45,0.2190957680391561,BBDC4,CRUZ3,False,BBDC4-CRUZ3-2,1.2449504974466579
1,0,1,51,50,-0.010963105161143627,ITUB4,AMBV4,True,ITUB4-AMBV4-1,0.9890967706681505
2,0,52,102,50,0.07845023437198262,ITUB4,AMBV4,True,ITUB4-AMBV4-2,1.0816095268455148
3,0,103,131,28,0.12023991689832836,ITUB4,AMBV4,False,ITUB4-AMBV4-3,1.1277673895789027
1,0,1,51,50,0.07156061561496396,VIVT4,WHMT3,True,VIVT4-WHMT3-1,1.0741832610068933
1,0,1,51,50,0.02024268457831324,BBDC4,BBDC3,True,BBDC4-BBDC3-1,1.0204489572039745
2,0,52,102,50,0.02242349697936241,BBDC4,BBDC3,True,BBDC4-BBDC3-2,1.0226767933078291
3,0,103,131,28,-0.0029604107712026817,BBDC4,BBDC3,False,BBDC4-BBDC3-3,0.9970439669237738
1,0,6,56,50,0.08183976217134753,VIVT3,ARCZ6,True,VIVT3-ARCZ6-1,1.085281892681909
2,0,81,131,50,-0.21900890667985295,VIVT3,ARCZ6,True,VIVT3-ARCZ6-2,0.8033145632561273
1,0,1,51,50,0.01117662247978557,BBDC3,AMBV4,True,BBDC3-AMBV4-1,1.0112393142679326
